        size,          ops,         time,      op/time
        1024,    156250000,     0.132852,  1.17612e+09
        2048,    156249984,     0.150142,  1.04068e+09
        3072,    156249984,     0.148453,  1.05252e+09
        4096,    156249984,     0.145278,  1.07552e+09
        5120,    156250000,     0.141273,  1.10601e+09
        6144,    156249984,     0.139826,  1.11746e+09
        7168,    156249968,     0.141490,  1.10432e+09
        8192,    156249984,     0.141108,  1.10731e+09
        9216,    156249936,     0.137567,  1.13581e+09
       10240,    156249920,     0.138768,  1.12598e+09
       11264,    156249984,     0.135175,  1.15591e+09
       12288,    156249984,     0.134975,  1.15762e+09
       13312,    156249808,     0.136941,    1.141e+09
       14336,    156249856,     0.137074,  1.13989e+09
       15360,    156249840,     0.137436,  1.13689e+09
       16384,    156249856,     0.141704,  1.10265e+09
       17408,    156249856,     0.137000,  1.14051e+09
       18432,    156249792,     0.137154,  1.13923e+09
       19456,    156249920,     0.135625,  1.15207e+09
       20480,    156249920,     0.135086,  1.15667e+09
       21504,    156249744,     0.138207,  1.13055e+09
       22528,    156249984,     0.133854,  1.16732e+09
       23552,    156249856,     0.142180,  1.09896e+09
       24576,    156249984,     0.142859,  1.09374e+09
       25600,    156250000,     0.136377,  1.14572e+09
       26624,    156249600,     0.133939,  1.16657e+09
       27648,    156249648,     0.133920,  1.16674e+09
       28672,    156249856,     0.136809,   1.1421e+09
       29696,    156249680,     0.134582,    1.161e+09
       30720,    156249600,     0.134440,  1.16223e+09
       31744,    156249920,     0.134443,   1.1622e+09
       32768,    156249600,     0.135630,  1.15203e+09
       33792,    156249984,     0.145101,  1.07684e+09
       34816,    156249856,     0.172388,  9.06385e+08
       35840,    156249520,     0.167509,  9.32783e+08
       36864,    156249792,     0.167956,  9.30302e+08
       37888,    156249520,     0.170725,  9.15212e+08
       38912,    156249920,     0.169412,  9.22307e+08
       39936,    156249600,     0.173401,  9.01088e+08
       40960,    156249600,     0.176817,   8.8368e+08
       41984,    156249360,     0.176653,  8.84499e+08
       43008,    156249408,     0.178149,  8.77071e+08
       44032,    156249616,     0.175137,  8.92157e+08
       45056,    156249984,     0.173698,   8.9955e+08
       46080,    156249360,     0.174125,   8.9734e+08
       47104,    156249856,     0.177263,  8.81458e+08
       48128,    156249808,     0.174542,  8.95199e+08
       49152,    156249600,     0.174799,  8.93882e+08
       50176,    156249632,     0.172959,  9.03391e+08
       51200,    156249600,     0.176360,   8.8597e+08
       52224,    156249312,     0.175792,  8.88831e+08
       53248,    156249600,     0.175495,  8.90337e+08
       54272,    156249936,     0.179378,  8.71065e+08
       55296,    156249216,     0.191806,  8.14621e+08
       56320,    156249280,     0.184054,  8.48932e+08
       57344,    156249856,     0.182339,   8.5692e+08
       58368,    156249312,     0.180928,  8.63599e+08
       59392,    156249216,     0.179619,  8.69892e+08
       60416,    156249936,     0.179355,  8.71177e+08
       61440,    156249600,     0.177822,  8.78685e+08
       62464,    156249792,     0.176279,  8.86378e+08
       63488,    156249920,     0.177207,  8.81737e+08
       64512,    156249072,     0.177380,  8.80872e+08
       65536,    156249088,     0.176863,  8.83447e+08
       66560,    156249600,     0.178136,  8.77137e+08
       67584,    156249984,     0.175668,  8.89462e+08
       68608,    156249360,     0.178167,  8.76983e+08
       69632,    156249856,     0.176306,  8.86242e+08
       70656,    156249120,     0.176356,  8.85987e+08
       71680,    156248960,     0.174926,  8.93229e+08
       72704,    156249984,     0.173778,  8.99136e+08
       73728,    156249216,     0.174937,  8.93174e+08
       74752,    156249200,     0.175286,  8.91396e+08
       75776,    156248928,     0.177138,  8.82075e+08
       76800,    156249600,     0.177761,  8.78987e+08
       77824,    156249920,     0.177996,  8.77828e+08
       78848,    156249632,     0.174737,  8.94199e+08
       79872,    156249600,     0.175857,  8.88504e+08
       80896,    156249360,     0.176647,  8.84529e+08
